m/z,rt,row ID,GRAPE-221775.mzML Peak area,GRAPE-221831.mzML Peak area,QC_001.mzML Peak area,QC_002.mzML Peak area,GRAPE-221800.mzML Peak area,GRAPE-221789.mzML Peak area,GRAPE-221870.mzML Peak area,GRAPE-221784.mzML Peak area,QC_004.mzML Peak area,QC_003.mzML Peak area,GRAPE-221776.mzML Peak area,GRAPE-221873.mzML Peak area,QC_005.mzML Peak area,GRAPE-221871.mzML Peak area,GRAPE-221872.mzML Peak area,GRAPE-221875.mzML Peak area,GRAPE-221834.mzML Peak area,GRAPE-221844.mzML Peak area,GRAPE-221833.mzML Peak area,GRAPE-221845.mzML Peak area,GRAPE-221837.mzML Peak area,GRAPE-221838.mzML Peak area,GRAPE-221848.mzML Peak area,GRAPE-221836.mzML Peak area,GRAPE-221856.mzML Peak area,GRAPE-221835.mzML Peak area,GRAPE-221849.mzML Peak area,GRAPE-221846.mzML Peak area,GRAPE-221857.mzML Peak area,GRAPE-221847.mzML Peak area,GRAPE-221832.mzML Peak area,GRAPE-221843.mzML Peak area,GRAPE-221868.mzML Peak area,GRAPE-221859.mzML Peak area,GRAPE-221850.mzML Peak area,GRAPE-221860.mzML Peak area,GRAPE-221858.mzML Peak area,GRAPE-221869.mzML Peak area
289.0884093,18.025007,feature_2221,6255,9715.109,12535.108,15634.77,4632.827,6324.082,19328.814,10023.397,15653.19,16067.871,19675.564,20820.277,18606.451,17462.07,16411.611,0,11153.917,9819.247,11157.257,19842.688,28733.197,4466.0703,8396.075,21662.008,15143.548,23767.979,18559.48,28144.078,11226.854,21333.588,6257.388,25241.832,17361.639,13206.548,23470.754,0,14201.397,22037.498
869.2240945,18.025019,feature_2222,4012.3574,6919.665,9875.563,13635.111,0,0,18401.898,8433.043,15797.5625,13329.816,30924.484,22306.812,16588.52,24187.555,10384.055,27122.818,6962.6855,5590.3735,5929.9395,22605.75,35452.6,0,0,22307.229,17661.18,29131.252,22018.96,36342.547,8574.68,23077.99,0,30460.406,19014.021,9879.228,30051.932,0,14492.565,27649.7
693.1399518,18.028347,feature_2229,6396.0938,5203.6714,6298.6646,9180.543,0,5325.2407,11459.726,7600.605,10199.882,10019.62,9556.481,12355.266,10640.979,8500.689,9004.855,12043.7295,8297.777,7183.7593,7731.7695,10933.216,13123.649,0,5960.1836,12583.373,10218.82,10989.621,9966.344,15683.562,6460.744,10873.644,4970.575,10941.082,10379.992,9213.903,12173.541,0,0,11762.764
595.2590708,18.182575,feature_2262,0,0,4620.128,4569.638,5747.8467,6593.8906,6254.798,5330.2305,5938.078,5634.166,3796.9194,7197.3066,6293.327,5484.325,5474.811,7862.093,5410.536,6226.209,6752.6553,7235.1455,4903.5317,4381.1733,0,4711.3633,5364.9434,3208.461,4809.6606,7200.713,5076.7397,7994.512,7327.4697,5209.4604,6751.6055,6646.526,5488.728,0,6556.8267,5695.6875
720.1554984,18.269289,feature_2269,0,7902.045,0,8646.091,7239.427,5829.1953,12788.661,26508.781,12210.531,10697.6875,32363.951,20187.52,12525.904,20611.945,7009.5635,14428.124,0,5447.6636,0,14345.605,20568.314,0,0,11225.07,11471.865,24836.023,13919.173,16263.784,18022.506,6964.375,0,22482.766,17236.854,5721.3774,15766.888,6775.7793,0,14237.361
447.1501992,18.393967,feature_2282,5811.537,0,0,4506.133,5158.121,3870.6191,6230.0347,0,5904.82,5455.052,7607.3105,7596.9307,6668.0396,0,7055.0444,8480.938,5207.8584,6732.189,5505.3804,5675.0796,4063.7908,5936.78,7541.223,5772.0635,5895.0396,0,6875.0415,5742.966,6012.7656,7814.5557,4975.9434,6070.952,7867.456,6325.371,6013.3086,0,5719.7773,7881.9795
652.1303664,19.016945,feature_2349,0,11970.318,8271.275,10422.921,7244.8037,6255.6914,18490.205,14712.953,13415.77,12160.055,17567.775,19152.953,13640.779,20429.955,10287.297,17213.72,0,6901.7056,5572.549,14691.175,23781.734,0,0,13950.896,13088.305,26488.04,14196.03,20079.287,20268.113,11539.149,0,28526.516,17326.48,6344.2354,16429.52,15427.933,7832.278,15621.495
652.6319881,19.018616,feature_2351,0,8634.308,0,6003.0474,4233.232,0,12045.387,9287.716,9469.703,7915.8467,11892.127,13509.091,9325.98,14348.168,7062.8623,11822.589,0,4915.0864,3386.7021,10391.162,17202.95,0,0,9270.681,8806.531,17409.873,9907.984,14250.434,14605.82,7465.8,0,18788.514,11819.64,0,11916.7705,10339.108,4823.4985,10717.412
423.1865118,19.026274,feature_2352,4401.3647,4776.0244,3777.3867,4116.585,0,5877.819,6560.2515,0,0,0,4446.3057,6326.9834,0,4409.738,0,6110.495,3751.6934,4863.9307,5366.542,4897.0586,5498.849,0,5605.3423,6634.6987,5568.219,0,5719.214,2326.132,4438.606,3533.7231,5039.759,6139.255,2801.0044,2304.6184,0,11918.254,0,0
525.1236828,19.160639,feature_2384,43637.03,72147.3,63483.797,69858.05,66017.87,25518.928,61411.883,57740.836,85975.21,77667.29,68797.945,65022.434,65625.07,73764.13,95754.336,131701.78,66900.766,73973.43,68879.43,44410.42,84871.58,152329.98,49665.47,69867.03,68643.984,92263.03,108131.17,69260.85,60444.203,96413.86,87943.64,184557.48,69051.72,74467.97,99562.49,30938.81,95097.62,101943.33
461.1656901,19.482792,feature_2439,8014.0293,6926.123,6645.182,7551.053,7920.531,3711.37,8747.44,0,10378.662,8716.639,12736.041,11103.31,10047.6875,11593.41,9805.555,13183.896,6442.271,10964.724,5462.572,7851.459,7969.8516,11131.315,11611.769,11073.32,9231.876,4839.6123,13906.84,8638.334,8345.472,10452.786,7668.873,13278.824,10837.995,8773.792,10766.918,8460.802,8016.029,14244.583
273.0768253,19.698147,feature_2455,5367.0684,0,7908.014,10325.003,0,7550.1533,14601.408,12362.931,12458.662,11365.914,26914.42,14952.218,12717.399,16471.475,11455.84,19187.18,7096.891,6366.0356,8694.417,13403.79,19158.873,2933.921,4521.914,13503.271,12463.335,18060.508,18681.43,16461.992,7490.506,14942.9375,0,19645.924,12486.236,9373.378,22328.197,0,10606.399,16452.186
435.0925752,19.704142,feature_2457,17713.729,14644.346,12645.946,17524.404,12960.269,12379.529,13545.214,9492.288,20827.238,18906.71,14060.385,11986.124,21620.129,10543.275,16571.959,11829.77,27493.555,13347.826,27262.314,32455.127,29992.6,6955.634,16455.682,20428.992,20954.162,22186.879,16097.618,43244.98,8273.576,45712.12,29723.031,29319.82,12868.795,10989.027,15950.27,0,38492.805,18809.77
463.0638693,19.832426,feature_2473,0,0,0,0,0,3359.3096,17797.865,0,8237.508,7269.794,0,9313.0205,9419.891,0,9658.864,11395.509,2520.3123,6915.085,4011.8271,14385.359,16620.72,0,0,12188.636,10779.364,9346.258,9055.463,16098.32,5396.6494,8554.951,0,13623.781,8242.91,4567.6567,12057.146,0,10380.631,10946.69
585.1360368,19.867023,feature_2486,0,0,0,2583.7815,2901.294,0,0,0,0,2907.0776,5867.168,0,3722.4536,0,4904.526,4334.2563,3684.1272,0,0,0,0,0,4083.1594,5619.494,5331.4697,0,4639.2417,4285.532,0,4480.438,4239.389,8554.826,3025.7803,4154.621,5009.15,0,4167.355,0
517.1492108,19.869635,feature_2487,10068.638,4568.2275,11502.271,13695.801,16752.75,0,12460.777,0,17058.396,15733.097,32557.174,15301.799,19043.875,24868.81,25055.957,23486.652,17638.22,15100.9,8791.315,8396.999,18031.307,16733.682,18327.256,26716.896,25363.363,0,25255.94,21192.12,21328.06,24440.557,19399.518,50152.984,17125.002,19291.154,26452.959,0,21780.885,23141.209
465.1030491,20.086075,feature_2518,9608.4795,10386.2705,11084.309,13330.565,16313.338,10269.127,18868.18,15701.583,16193.77,15666.439,19778.7,17303.705,16666.26,19753.748,17717.076,20719.807,9408.92,13916.559,11148.416,13767.983,16442.34,16232.734,12735.985,14482.952,15306.543,11486.643,17222.35,15511.036,16900.857,15647.208,14497.026,26813.463,17752.19,13495.534,17707.492,7150.039,12513.184,17791.531
377.1813657,20.28983,feature_2549,3819.707,3425.5298,3984.6487,0,0,0,5357.781,3850.7412,5817.0977,5377.781,4277.873,5667.256,5994.8926,7284.157,7234.0386,9670.269,3571.5596,4784.883,3239.1816,5145.2603,4118.3306,5804.9272,4746.9683,5678.2183,5476.883,5406.728,5978.339,3967.0713,5360.4336,4177.563,6961.301,8232.242,5686.2056,4333.8223,7490.2153,10242.977,3650.8896,8128.709
452.9220188,20.362595,feature_2558,0,0,0,61270.1,55248.36,0,71469.52,48198.312,0,66376.484,18632.627,0,0,0,0,0,69459.555,65010.188,61097.47,51708.125,23767.973,27646.18,0,0,0,26975.652,0,61791.848,0,58498.14,0,20364.432,65645.55,0,28758.629,0,0,29569.766
577.1336659,20.435379,feature_2571,0,7154.342,9493.273,11800.492,7774.3354,10605.407,16894.344,18478.508,14315.739,13806.811,33549.496,21204.145,15540.659,20291.305,11484.874,17853.25,4860.9336,8988.527,8360.834,18395.852,23148.076,3787.8794,0,16179.925,16599.953,22813.508,16873.629,21986.312,16550.533,14673.833,0,23288.58,17621.17,10162.222,22356.283,5745.2163,10427.991,16687.283
391.1605453,20.501425,feature_2581,0,0,0,0,0,0,7182.744,0,6559.1094,0,8897.709,8519.835,7296.227,7127.7466,6195.237,8975.212,4922.3438,6208.1895,0,0,7091.668,0,0,0,7042.503,0,0,0,0,6693.21,6008.035,9446.036,8261.346,0,0,0,5906.0317,8050.133
453.1333699,20.556265,feature_2591,6194.6084,5438.926,9025.063,11717.983,13615.064,2714.4126,11508.783,0,13215.615,11989.6455,22327.004,13160.058,13983.994,14420.546,17890.156,19701.11,15303.417,15744.733,7864.711,7111.3237,12788.777,15896.293,14608.156,17933.92,20341.93,0,19050.059,18573.775,16622.287,18209.164,14779.66,38586.746,13143.042,16648.764,18741.756,0,15630.029,17932.523
177.018443,20.571812,feature_2600,156272.94,7242.743,142644.78,157550.34,216370.69,6584.3477,181796.11,29183.229,173085.72,159765.27,271486.3,150492.23,177358.92,344867.1,183486.16,230378.9,99617.36,175612.7,53586.61,73012.17,111211.63,306262.44,290727.66,260279.23,238944.11,5483.4946,200631.77,287354.28,180575.72,132554.27,169117.28,435294.8,175046.64,207711.38,279748.44,0,103678.89,110462.29
178.021831,20.57211,feature_2601,7815.701,0,8455.633,8599.469,14449.917,0,10089.886,0,9508.488,8599.731,19521.672,8338.106,9954.504,26817.174,10651.513,14021.326,4115.209,9975.6,0,0,0,21805.89,19658.566,15357.98,15787.84,0,12560.658,17821.102,9941.854,7031.747,9514.064,33299.297,9987.28,12487.336,19340,0,4399.7964,0
595.1651467,20.661812,feature_2635,7686.332,3879.6392,7839.532,8679.588,8056.8247,4277.721,8996.134,0,10852.55,10506.11,13617.847,7104.1157,10587.37,13724.516,17054.584,27374.816,6564.125,14161.557,6587.882,5511.4707,3655.1326,21954.174,9015.768,7041.179,8376.086,8688.391,14027.876,6941.948,6929.7354,10942.681,9666.01,21194.072,7362.472,13811.31,12033.574,0,8748.449,18993.53
